month,visitor_arrivals,hotel_guests,visitors_million,hotels_million,visitor_index,hotel_index
2026-01,3647328,1250700,3.647328,1.2507,100.0,100.0
2026-02,4172940,1220459,4.17294,1.220459,114.41087831969048,97.58207403853841
2026-03,3393636,1208570,3.393636,1.20857,93.04444239728372,96.63148636763412
2026-04,3441396,1169133,3.441396,1.169133,94.35389413839391,93.47829215639241
2026-05,3487994,1183520,3.487994,1.18352,95.63148694057676,94.62860797953147
2026-06,2801152,1105197,2.801152,1.105197,76.80011230138885,88.3662748860638
